DAC,SmallCtest SR,SmallCtest LR,LargeCtest SR,LargeCtest LR
0,5,5,10.5,10.5
2,7.5,16.3,13,21.8
4,10.2,29.5,15.8,35
6,12.7,42.9,18.4,48.4
8,15.5,57.4,21.2,62.9
10,18.2,71.9,24,77.4
12,21.1,87.8,26.9,93.3
14,23.9,102.9,29.8,108.4
16,26.5,116.6,32.4,122.1
18,29.4,132,35.5,137.5
20,32.5,148,38.5,153.5
30,48.3,226,54.2,231.5
40,65.5,307,71,312.5
50,82.1,384,87.8,389.5
60,99.7,463,105.3,468.5
63,105,486,110.6,491.5
