Opened FLX-device 0, firmw FLX712-LPGBT-2x10CH-231012-122-GIT:rm-5.0/3463
[36mRunning:  i2c_check.py -d 0 -G 0

***FLX-device number is 0. GBT-link number is 0.***

Reg  0x104 0b10000000 128
Reg  0x105 0b10 2
Reg  0x106 0b0 0
Reg  0x107 0b0 0
Reg  0x110 0b0 0
Reg  0x111 0b0 0
Reg  0x112 0b10 2
Reg  0x113 0b0 0
Reg  0x114 0b10000000 128
Reg  0x115 0b10 2
Reg  0x116 0b0 0
Reg  0x117 0b0 0
Reg  0x120 0b0 0
Reg  0x121 0b0 0
Reg  0x122 0b10 2
Reg  0x123 0b0 0
Reg  0x124 0b10000000 128
Reg  0x125 0b10 2
Reg  0x126 0b0 0
Reg  0x127 0b0 0
Reg  0x130 0b0 0
Reg  0x131 0b0 0
Reg  0x132 0b10 2
Reg  0x133 0b0 0
Reg  0x134 0b10000000 128
Reg  0x135 0b10 2
Reg  0x136 0b0 0
Reg  0x137 0b0 0
Reg  0x140 0b0 0
Reg  0x141 0b0 0
Reg  0x142 0b10 2
Reg  0x143 0b0 0
Reg  0x144 0b10000000 128
Reg  0x145 0b10 2
Reg  0x146 0b0 0
Reg  0x147 0b0 0
Reg  0x150 0b0 0
Reg  0x151 0b0 0
Reg  0x152 0b10 2
Reg  0x153 0b0 0
Reg  0x154 0b10000000 128
Reg  0x155 0b10 2
Reg  0x156 0b0 0
Reg  0x157 0b0 0
Reg  0x160 0b0 0
Reg  0x161 0b0 0
Reg  0x162 0b10 2
Reg  0x163 0b0 0
Reg  0x164 0b10000000 128
Reg  0x165 0b10 2
Reg  0x166 0b0 0
Reg  0x167 0b0 0
Reg  0x170 0b0 0
Reg  0x171 0b0 0
Reg  0x172 0b10 2
Reg  0x173 0b0 0
Reg  0x174 0b10000000 128
Reg  0x175 0b10 2
Reg  0x176 0b0 0
Reg  0x177 0b0 0
Reg  0x180 0b0 0
Reg  0x181 0b0 0
Reg  0x182 0b10 2
Reg  0x183 0b0 0
Reg  0x184 0b10000000 128
Reg  0x185 0b10 2
Reg  0x186 0b0 0
Reg  0x187 0b0 0
Reg  0x190 0b0 0
Reg  0x191 0b0 0
Reg  0x192 0b10 2
Reg  0x193 0b0 0
Reg  0x194 0b10000000 128
Reg  0x195 0b10 2
Reg  0x196 0b0 0
Reg  0x197 0b0 0
Reg  0x1a0 0b0 0
Reg  0x1a1 0b0 0
Reg  0x1a2 0b10 2
Reg  0x1a3 0b0 0
Reg  0x1a4 0b10000000 128
Reg  0x1a5 0b10 2
Reg  0x1a6 0b0 0
Reg  0x1a7 0b0 0
Reg  0x1b0 0b0 0
Reg  0x1b1 0b0 0
Reg  0x1b2 0b10 2
Reg  0x1b3 0b0 0
Reg  0x1b4 0b10000000 128
Reg  0x1b5 0b10 2
Reg  0x1b6 0b0 0
Reg  0x1b7 0b0 0
Reg  0x1c0 0b0 0
Reg  0x1c1 0b0 0
Reg  0x1c2 0b10 2
Reg  0x1c3 0b0 0
Reg  0x1c4 0b10000000 128
Reg  0x1c5 0b10 2
Reg  0x1c6 0b0 0
Reg  0x1c7 0b0 0
Reg  0x1d0 0b0 0
Reg  0x1d1 0b0 0
Reg  0x1d2 0b10 2
Reg  0x1d3 0b0 0
Reg  0x1d4 0b10000000 128
Reg  0x1d5 0b10 2
Reg  0x1d6 0b0 0
Reg  0x1d7 0b0 0
Reg  0x1e0 0b0 0
Reg  0x1e1 0b0 0
Reg  0x1e2 0b10 2
Reg  0x1e3 0b0 0
Reg  0x1e4 0b10000000 128
