DAC,SmallCtest SR,SmallCtest LR,LargeCtest SR,LargeCtest LR
0,4.9,4.9,10.2,10.2
2,7.6,16.9,13,22.2
4,10.5,30.4,15.9,35.7
6,13.3,44.5,18.8,49.8
8,15.8,57.7,21.4,63
10,18.7,72.8,24.3,78.1
12,21.8,88.6,27.5,93.9
14,24.8,104.2,30.5,109.5
16,28.1,120.4,33.9,125.7
18,31.1,136.2,37,141.5
20,34.6,152.4,40.3,157.7
30,51,230.5,56.7,235.8
40,68.7,310.5,74.4,315.8
50,86.9,390.8,92.3,396.1
60,104.8,469.1,110.1,474.4
63,110.6,493.4,115.7,498
