DAC,DAC LR,SmallCtest SR,SmallCtest LR,LargeCtest SR,LargeCtest LR
0,64,5.2,5.2,10.2,10.2
10,74,20.8,79.3,26,84.4
20,84,37.7,161,43,166
40,104,75,328,80,333
63,127,118,521,124,525
